user_id,registration_date,platform,country,user_type,age,month
1,2024-01-01 00:00:00,iOS,US,free,48,1
3,2024-01-01 02:00:00,Android,BR,free,23,1
4,2024-01-01 03:00:00,iOS,US,free,33,1
5,2024-01-01 04:00:00,iOS,BR,free,26,1
6,2024-01-01 05:00:00,iOS,US,premium,25,1
7,2024-01-01 06:00:00,iOS,BR,free,36,1
8,2024-01-01 07:00:00,Android,BR,free,18,1
9,2024-01-01 08:00:00,Android,US,premium,18,1
10,2024-01-01 09:00:00,Android,UK,premium,32,1
12,2024-01-01 11:00:00,Android,DE,free,35,1
13,2024-01-01 12:00:00,Android,UK,premium,50,1
14,2024-01-01 13:00:00,iOS,DE,free,33,1
15,2024-01-01 14:00:00,iOS,US,free,37,1
16,2024-01-01 15:00:00,iOS,US,free,22,1
17,2024-01-01 16:00:00,iOS,US,free,39,1
18,2024-01-01 17:00:00,iOS,US,free,26,1
19,2024-01-01 18:00:00,iOS,UK,free,32,1
20,2024-01-01 19:00:00,iOS,BR,free,30,1
22,2024-01-01 21:00:00,iOS,UK,free,18,1
23,2024-01-01 22:00:00,iOS,IN,premium,18,1
24,2024-01-01 23:00:00,iOS,DE,free,29,1
25,2024-01-02 00:00:00,iOS,IN,free,36,1
26,2024-01-02 01:00:00,Android,UK,free,33,1
27,2024-01-02 02:00:00,iOS,US,premium,44,1
28,2024-01-02 03:00:00,iOS,US,premium,36,1
29,2024-01-02 04:00:00,iOS,DE,free,26,1
30,2024-01-02 05:00:00,iOS,US,free,18,1
31,2024-01-02 06:00:00,Android,US,free,29,1
32,2024-01-02 07:00:00,iOS,UK,premium,42,1
33,2024-01-02 08:00:00,iOS,UK,premium,28,1
34,2024-01-02 09:00:00,Android,DE,premium,32,1
35,2024-01-02 10:00:00,Android,US,free,36,1
36,2024-01-02 11:00:00,Android,US,free,21,1
37,2024-01-02 12:00:00,iOS,DE,premium,38,1
38,2024-01-02 13:00:00,iOS,IN,free,48,1
39,2024-01-02 14:00:00,Android,DE,free,30,1
40,2024-01-02 15:00:00,iOS,IN,free,20,1
42,2024-01-02 17:00:00,iOS,UK,free,18,1
43,2024-01-02 18:00:00,iOS,US,free,35,1
44,2024-01-02 19:00:00,Android,DE,free,36,1
45,2024-01-02 20:00:00,iOS,DE,premium,48,1
46,2024-01-02 21:00:00,Android,DE,free,30,1
47,2024-01-02 22:00:00,iOS,UK,free,36,1
48,2024-01-02 23:00:00,iOS,UK,free,23,1
49,2024-01-03 00:00:00,iOS,US,premium,28,1
50,2024-01-03 01:00:00,iOS,UK,premium,18,1
51,2024-01-03 02:00:00,Android,US,premium,30,1
52,2024-01-03 03:00:00,Android,BR,free,28,1
53,2024-01-03 04:00:00,Android,US,premium,34,1
54,2024-01-03 05:00:00,Android,US,free,25,1
55,2024-01-03 06:00:00,iOS,UK,free,32,1
56,2024-01-03 07:00:00,Android,DE,free,28,1
58,2024-01-03 09:00:00,iOS,US,premium,32,1
59,2024-01-03 10:00:00,iOS,UK,free,32,1
60,2024-01-03 11:00:00,iOS,US,free,39,1
63,2024-01-03 14:00:00,Android,UK,free,30,1
64,2024-01-03 15:00:00,iOS,US,free,24,1
66,2024-01-03 17:00:00,iOS,US,free,52,1
67,2024-01-03 18:00:00,iOS,UK,free,22,1
68,2024-01-03 19:00:00,Android,US,premium,29,1
69,2024-01-03 20:00:00,iOS,IN,free,28,1
70,2024-01-03 21:00:00,Android,US,premium,29,1
72,2024-01-03 23:00:00,iOS,DE,premium,34,1
73,2024-01-04 00:00:00,iOS,UK,free,18,1
74,2024-01-04 01:00:00,Android,US,free,42,1
